Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:4rc9kQ6qyssElIccFJgbJb,My Name Is,Eminem,Curtain Call (Deluxe),1,4,268853,,
spotify:track:6KqKg8IPuvtDB3PNAvffFf,Shake That,"Eminem, Nate Dogg",Curtain Call (Deluxe),1,7,274440,,
spotify:track:3C7RbG9Co0zjO7CsuEOqRa,Sing For The Moment,Eminem,Curtain Call (Deluxe),1,8,340266,,
spotify:track:6AnfqcIa7IyrCMtgh5P6Wc,Like Toy Soldiers,Eminem,Curtain Call (Deluxe),1,10,295666,,
spotify:track:7wFmQutRb7XUDo2mlftXa2,Cleanin' Out My Closet,Eminem,Curtain Call (Deluxe),1,14,298960,,
spotify:track:3EBFAnRTOBR42LS2fn6O6u,Never Enough,"Eminem, 50 Cent, Nate Dogg",Encore,1,3,159786,,
spotify:track:5mIBU2IZK5puR0oO9hDPxb,Mosh,Eminem,Encore,1,6,317813,,
spotify:track:6P6ssARq1GxkZe4NGzdS5Z,Big Weenie,Eminem,Encore,1,11,266933,,
spotify:track:0HNAPf0cLMkVQfwPl74kF3,Ass Like That,Eminem,Encore,1,14,265480,,
spotify:track:1MH4vGyej4rtVUazGQpLMM,Is It Me,Method Man,4:21...The Day After,1,2,224213,,
spotify:track:5ltdcgEflWut0osW0ZzLhM,Da Rockwilder,"Method Man, Redman",Blackout!,1,7,136093,,
spotify:track:3UmhLD8OUCwyvK5AMnE23U,Freek-A-Leek Remix - feat. Twista and Jermaine Dupri Edited Version,Petey Pablo,Kamikaze (Edited Version Re-Release U.S. Version),1,18,243902,,
spotify:track:1QGdApQkNT9gipkaI9vpDm,Behind The Walls (East Coast Gangsta Mix),"Shyne, Kurupt, Nate Dogg",godfather buried alive,1,4,269293,,
spotify:track:2gSyc23Hua25fqSFpgAh6W,Say My Name,Destiny's Child,The Writing's On The Wall,1,12,271333,,
spotify:track:7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,Get Rich Or Die Tryin',1,5,193466,,
spotify:track:24kGngQeXHt0uhffKpq0zj,Don't Cha,"The Pussycat Dolls, Busta Rhymes",PCD (Revised International Version),1,1,272080,,
spotify:track:6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,Missy Elliott,Miss E...So Addictive,1,5,211120,,
spotify:track:5q4I6I0ytvTKuYe1Fquxnx,Family Affair,Mary J. Blige,No More Drama,1,2,265866,,
spotify:track:51FEdPwVSWCFspiWtt8gjJ,Hot In Herre,Nelly,6 Pack (Edited Version),1,3,228533,,
spotify:track:7lVNTXkI3cHFvcXiI8damb,I Need A Girl (Part One) (feat. Usher & Loon),"Diddy, Usher, Loon",R&B Hits,1,5,268800,,
