•ÈÀ•ÈÀSpotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5HIFLI3QPjCvu3D6ztgaGy,World In Our Hands - Blasterjaxx Remix,"Quintino, Alvaro",World In Our Hands (Blasterjaxx Remix),1,1,380626,spotify:user:plopous,2014-01-06T21:10:59Z
spotify:track:0vTYkqMV9OxYsX4uTLbhhs,Awaken - Radio Edit,"Jerome Isma-Ae, Justin Michael, Novi",Awaken,1,1,255000,spotify:user:plopous,2014-01-06T21:12:19Z
spotify:track:5ADe8Pa50T6UajwNeIklHj,Shock (Extended),Sick Individuals,Shock,1,2,403124,spotify:user:plopous,2014-01-09T20:41:09Z
spotify:track:2X0q5QBDUzwLa7O7AwWBzQ,We Like To Party,Showtek,We Like To Party,1,1,280990,spotify:user:plopous,2014-01-13T13:59:20Z
spotify:track:4LhBbYaTDLqnTZBxQpYf60,Life Is Calling - Original Mix,"JoeySuki, Kill The Buzz",Life Is Calling,1,1,341250,spotify:user:plopous,2014-01-13T21:17:53Z
spotify:track:0kCui6p2K891UGQe8cOUbz,Unspoiled Perfection,"Deorro, Madeleine Jayne, Adrian Delgado",Unspoiled Perfection,1,1,300000,spotify:user:plopous,2014-01-13T21:18:37Z
spotify:track:2HjcoOOhOJyftnO49bOf3O,Levitate - Starkillers Radio Mix,Hadouken!,Levitate (Remixes),1,2,233773,spotify:user:plopous,2014-01-16T18:12:47Z
spotify:track:3Vkt2r3Q5cwLVnEPNmXokD,Elysium - Original Mix,Audien,Elysium,1,1,284255,spotify:user:plopous,2014-01-17T22:03:00Z
spotify:track:32ZXrPjK9A2gPbp2wxTtJG,Golden Times - Blinders Remix,Goodwill,Golden Times,1,1,350486,spotify:user:plopous,2014-01-20T18:27:04Z
spotify:track:0Do5Ma2ayoVb4WKOVf22nF,Synchronize - Radio Edit,"Tom Swoon, Paris Blohm, Hadouken!",Synchronize (Radio Edit),1,1,230680,spotify:user:plopous,2014-01-21T13:28:01Z
spotify:track:24rPUpuIp73WMj0EaHqvVt,Beautiful People - Summerland Anthem (Original Mix),"MOSKA, MYNC, Tamra Keenan",Beautiful People (Summerland Anthem),1,1,332769,spotify:user:plopous,2014-01-21T16:34:52Z
spotify:track:1HOHyuN7DQBx9wOTnfMJOm,We Like To Party - Original Mix,Showtek,We Like To Party,1,1,280990,spotify:user:plopous,2014-01-24T21:27:34Z
spotify:track:3yRzdNngQxGdMhNPcXwWCa,Revolution - Panic City Remix,"Diplo, Faustix & Imanos, Kai, Panic City",Revolution (Remixes),1,1,307734,spotify:user:plopous,2014-01-27T13:26:36Z
spotify:track:2jI7aQIz5QmbJtzvDiHP2j,Unless We Forget - Original Mix,"Jewelz, Scott Sparks, Quilla",Unless We Forget,1,1,358124,spotify:user:plopous,2014-01-27T16:11:40Z
spotify:track:3TU7wb3cfj1DRNPE91DbO7,Spicebomb (feat. Nicci),"Ralvero, Nicci",Spicebomb (feat. Nicci),1,1,168759,spotify:user:plopous,2014-01-27T16:11:42Z
spotify:track:1CZCRFSoizhcxpTQ868SVW,Crackle - Original Mix,"Yves V, D-Wayne",Crackle,1,1,384379,spotify:user:plopous,2014-01-27T17:30:55Z
spotify:track:2bSlshGilCrjresbTYOp1z,Under Your Cloud [ASOT 649] - Original Mix,"Myon & Shane 54, Late Night Alumni",A State Of Trance Episode 649,1,2,190187,spotify:user:plopous,2014-01-27T17:32:43Z
spotify:track:1Oje7hUC1TVsu6HL2EL2GR,Riot - Original Mix,"Arty, Matisse, Sadko",Riot,1,1,369386,spotify:user:plopous,2014-01-27T17:34:31Z
spotify:track:2TTjBHrZENoF89HMdVdBxS,Hold That Sucker Down - Sick Individuals Radio Edit,Jerome Isma-Ae,Hold That Sucker Down (Sick Individuals Remix),1,1,198749,spotify:user:plopous,2014-01-28T16:49:38Z
spotify:track:68WtOhGGRLSj6gqgLIrSf4,360 - Original Mix,Husman,360,1,2,337500,spotify:user:plopous,2014-02-03T11:44:10Z
spotify:track:0AIvlMveMtrP9Fb0srXdlj,Lion - Original Mix,Dannic,Lion,1,1,279374,spotify:user:plopous,2014-02-03T11:44:57Z
spotify:track:5e6VPHtFpG3tPeaIGbIfjn,Ruby,Deniz Koyu,Ruby,1,1,368671,spotify:user:plopous,2014-02-03T11:46:54Z
spotify:track:1R6SFQVLcAe3Og6NA83fGR,Invincible - Original Mix,Borgeous,Invincible,1,1,282041,spotify:user:plopous,2014-02-04T05:17:11Z
spotify:track:06zvUgZkZIt1v8kxB4W1Np,Stars - Original Mix,Jus Jack,Future Heroes EP,1,2,319413,spotify:user:plopous,2014-02-04T05:17:38Z
spotify:track:4kAEBU9V4EbzfAb15QDc2i,Move Into Light,"Juventa, Erica Curran",Move Into Light,1,1,243346,spotify:user:plopous,2014-02-04T12:43:38Z
spotify:track:7jX4E7JPe9CqLexMobIWNY,U,"Gareth Emery, Bo Bruce",U,1,1,260204,spotify:user:plopous,2014-02-04T21:08:17Z
spotify:track:3dDslqsEROsRx2yQ2xNMAL,Hippodrop - Original Mix,Estiva,Hippodrop,1,1,369504,spotify:user:plopous,2014-02-04T21:13:49Z
spotify:track:5SMYN4lHZduUD8SQ0TEHj2,Ten Feet Tall,"Afrojack, Wrabel",Ten Feet Tall,1,1,233353,spotify:user:plopous,2014-02-05T18:17:42Z
spotify:track:6zzSWsOIcIcw2g9UvLGTX0,Drop The Power - Original Mix,Kaaze,Future Heroes EP,1,3,298359,spotify:user:plopous,2014-02-05T18:18:01Z
spotify:track:08zbGkZTRudx8ODsi8DLIW,Now Or Never - Pierce Fulton Remix,"Tritonal, Phoebe Ryan, Pierce Fulton",Now Or Never (Remixes Pt. 1),1,2,370786,spotify:user:plopous,2014-02-07T15:28:51Z
spotify:track:5tqDJzxqgbYKBiGlHDvun5,Brighter (feat. Jeff Sontag & I Am Lightyear) [Radio Edit],"Two Friends, Jeff Sontag, I Am Lightyear",Brighter (Original Mix),1,1,283297,spotify:user:plopous,2014-02-07T15:33:25Z
spotify:track:7ifxFrdkzfWoTlEKdBcBM5,Grim,"Max Vangeli, Danny Ray",GRIM,1,1,330057,spotify:user:plopous,2014-02-10T21:52:17Z
spotify:track:0RMtbz2AKZXMAL4cP0tXRm,Don't Go Lose It - Original Mix,MOTi,Don't Go Lose It,1,1,324057,spotify:user:plopous,2014-02-10T21:52:44Z
